kind,trade_id,symbol,exec_date,exec_price,shares,buy_date,buy_price,buy_fee,sell_fee,gross_pnl,net_pnl,net_return_pct,hold_days,exit_reason,sig_buy_sig_date,sig_buy_sig_w_close,sig_buy_mtf_score,sig_buy_emasma_score,sig_buy_early_score,sig_buy_near_score,sig_buy_gap_w,sig_buy_atr_dist,sig_buy_freshness_days,sig_sell_sig_date,sig_sell_sig_w_close,sig_sell_mtf_score,sig_sell_emasma_score,sig_sell_early_score,sig_sell_near_score,sig_sell_gap_w,sig_sell_atr_dist,sig_sell_freshness_days
SELL,271,XLK,2026-01-27,147.06,128.53,2025-06-10,118.92,7.64,9.45,3616.81,3607.36,23.6,158,rotation (out of top-N),2025-06-09,118.76,2.9,1.21,4.7,6.8,6.07,0.91,0,2026-01-26,143.53,0.9,1.51,1.6,4.7,7.53,0.86,231
SELL,272,SPY,2025-06-17,591.85,25.82,2025-06-10,591.86,7.64,7.64,-0.26,-7.9,-0.05,5,rotation (out of top-N),2025-06-09,588.69,2.5,0.64,4.8,7.4,3.19,0.46,0,2025-06-16,587.74,2.4,0.57,4.7,7.2,2.85,0.62,7
SELL,273,SMH,2026-09-09,576.82,87.35,2025-06-17,261.63,11.43,,27532.64,27532.64,120.47,308,end-of-sample mark-to-market,2025-06-16,259.46,3.4,1.79,4.6,6.2,8.97,1.4,0,,,,,,,,,
SELL,274,VGT,2026-01-13,95.48,291.47,2025-06-17,78.41,11.43,13.91,4975.37,4961.45,21.71,144,rotation (out of top-N),2025-06-16,78.13,2.8,1.06,4.7,6.9,5.28,0.79,0,2026-01-12,94.66,0.8,1.92,1.5,4.7,9.6,0.54,210
SELL,275,SPY,2025-07-29,631.32,93.97,2025-07-08,614.51,28.87,29.66,1579.65,1549.99,2.68,15,rotation (out of top-N),2025-07-07,616.76,2.2,1.43,4.2,6.5,7.15,0.52,28,2025-07-28,614.88,1.7,1.22,3.9,6.4,6.1,0.25,49
SELL,276,XLU,2025-08-12,41.93,1452.25,2025-07-29,40.83,29.65,30.45,1597.47,1567.03,2.64,10,rotation (out of top-N),2025-07-28,41.74,1.0,1.8,1.6,4.6,9.0,0.78,504,2025-08-11,41.65,0.9,1.63,1.6,4.7,8.14,0.71,518
SELL,277,SPY,2025-08-19,636.04,55.45,2025-08-05,624.84,17.32,17.63,620.99,603.36,1.74,10,rotation (out of top-N),2025-08-04,630.17,2.0,1.68,3.6,5.7,8.41,0.78,56,2025-08-18,638.21,1.5,1.85,2.4,5.7,9.25,0.29,70
SELL,278,XLC,2025-10-21,115.55,283.82,2025-08-12,107.33,15.23,16.4,2333.02,2316.62,7.6,49,rotation (out of top-N),2025-08-11,110.1,1.0,2.29,1.4,4.5,11.43,0.57,910,2025-10-20,114.51,1.0,2.17,1.5,4.4,10.87,0.73,980
SELL,279,SCHB,2025-08-19,24.53,1253.09,2025-08-12,24.31,15.23,15.37,275.68,260.31,0.85,5,rotation (out of top-N),2025-08-11,24.53,1.8,1.79,3.6,5.9,8.97,0.4,56,2025-08-18,24.65,1.6,1.84,2.5,5.9,9.21,0.26,63
SELL,280,XLI,2025-09-09,149.08,220.96,2025-08-19,149.28,16.49,16.47,-44.19,-60.66,-0.18,14,rotation (out of top-N),2025-08-18,151.19,1.3,2.09,2.0,5.2,10.45,0.42,91,2025-09-08,149.65,1.2,1.74,1.7,4.7,8.7,0.87,112
SELL,281,IWM,2025-11-11,241.55,146.16,2025-08-19,225.68,16.49,17.65,2319.49,2301.83,6.98,59,rotation (out of top-N),2025-08-18,232.42,2.4,1.88,4.1,6.2,9.4,0.56,28,2025-11-10,235.7,1.3,1.74,1.7,4.5,8.72,1.09,112
SELL,282,VTI,2025-10-14,321.05,103.91,2025-09-09,317.01,16.47,16.68,419.79,403.11,1.22,25,rotation (out of top-N),2025-09-08,320.57,1.6,2.13,2.1,5.1,10.64,0.68,84,2025-10-13,324.42,1.3,2.05,1.5,4.2,10.26,1.22,119
SELL,283,SCHB,2025-09-23,25.54,1361.22,2025-09-16,25.26,17.19,17.38,381.14,363.76,1.06,5,rotation (out of top-N),2025-09-15,25.44,1.3,2.34,1.9,5.1,11.72,0.29,91,2025-09-22,25.34,1.1,2.19,1.8,5.1,10.94,0.3,98
