kind,trade_id,symbol,exec_date,exec_price,shares,buy_date,buy_price,buy_fee,sell_fee,gross_pnl,net_pnl,net_return_pct,hold_days,exit_reason,sig_sig_date,sig_sig_w_close,sig_sig_w_ema,sig_sig_w_sma,sig_sig_d_close,sig_sig_d_ema,sig_sig_d_sma,sig_sig_h_close,sig_sig_h_atr,sig_gap_w,sig_atr_dist,sig_freshness_days,sig_emasma_score,sig_mtf_score,sig_early_score,sig_near_score
BUY,190,XLE,2026-05-12,57.32,5676.16,,,162.68,,,,,,,2026-05-11,59.01,56.66,48.81,56.76,56.93,57.8,56.77,56.1,20.89,1.19,259,4.18,1.8,1.0,3.1
SELL,188,EEM,2026-05-12,65.88,4941.03,2026-04-14,61.28,151.39,162.76,22728.75,22565.99,7.45,20,rotation (out of top-N),2026-05-11,64.73,62.2,56.03,67.54,65.47,60.54,67.57,67.17,15.53,0.59,378,3.11,1.2,1.2,4.1
BUY,191,VGT,2026-05-19,111.11,3082.44,,,171.24,,,,,,,2026-05-18,115.61,104.2,94.55,112.0,111.19,99.55,111.94,109.71,22.27,1.99,35,4.45,3.9,3.3,3.9
SELL,190,XLE,2026-05-19,60.37,5676.16,2026-05-12,57.32,162.68,171.33,17312.28,17140.94,5.27,5,rotation (out of top-N),2026-05-18,59.06,57.09,49.25,60.15,57.96,57.84,60.13,59.26,19.91,1.45,266,3.98,2.0,1.0,3.0
BUY,192,IJR,2026-06-23,141.63,2528.09,,,179.03,,,,,,,2026-06-22,147.41,139.19,126.9,143.26,141.6,137.92,143.28,142.05,16.17,0.86,315,3.23,1.4,1.2,3.8
SELL,191,VGT,2026-06-23,116.22,3082.44,2026-05-19,111.11,171.24,179.12,15751.26,15572.14,4.55,23,rotation (out of top-N),2026-06-22,113.86,112.25,98.17,120.37,118.34,113.92,120.44,118.73,15.99,1.42,70,3.2,2.6,2.0,4.3
BUY,193,VGT,2026-06-30,116.73,3187.86,,,186.06,,,,,,,2026-06-29,114.64,112.69,98.73,116.5,116.47,115.42,116.47,114.76,16.11,1.47,77,3.22,2.5,1.9,4.1
SELL,192,IJR,2026-06-30,147.27,2528.09,2026-06-23,141.63,179.03,186.16,14258.45,14072.3,3.93,5,rotation (out of top-N),2026-06-29,146.48,140.51,127.62,147.36,144.46,139.16,147.34,145.94,14.78,0.95,322,2.96,1.4,1.3,3.9
BUY,194,XLE,2026-07-21,58.16,6308.49,,,183.45,,,,,,,2026-07-20,59.62,56.46,52.16,57.94,56.43,55.89,57.95,57.33,14.31,1.07,329,2.86,1.4,1.3,3.9
SELL,193,VGT,2026-07-21,115.15,3187.86,2026-06-30,116.73,186.06,183.54,-5036.82,-5220.36,-1.4,14,rotation (out of top-N),2026-07-20,113.3,113.52,100.35,113.23,115.15,117.2,113.23,111.38,12.9,1.64,98,2.58,2.1,1.7,4.0
BUY,195,VGT,2026-08-04,117.35,3101.9,,,182.0,,,,,,,2026-08-03,115.1,113.75,101.18,113.52,113.05,115.45,115.1,113.05,13.76,1.78,112,2.75,2.0,1.4,3.6
SELL,194,XLE,2026-08-04,57.73,6308.49,2026-07-21,58.16,183.45,182.09,-2712.65,-2894.74,-0.79,10,rotation (out of top-N),2026-08-03,58.78,57.34,52.96,58.96,58.57,56.23,58.78,58.05,10.99,1.25,343,2.2,1.4,1.5,4.1
BUY,196,XLE,2026-08-25,62.3,5845.63,,,182.09,,,,,,,2026-08-24,62.57,59.44,54.28,63.13,62.43,58.32,63.13,62.59,15.27,0.86,364,3.05,1.3,1.2,3.9
SELL,195,VGT,2026-08-25,117.47,3101.9,2026-08-04,117.35,182.0,182.18,356.72,174.54,0.05,15,rotation (out of top-N),2026-08-24,117.58,116.54,103.22,116.41,119.06,116.86,116.41,115.33,13.91,0.93,133,2.78,1.3,1.3,4.0
