kind,trade_id,symbol,exec_date,exec_price,shares,buy_date,buy_price,buy_fee,sell_fee,gross_pnl,net_pnl,net_return_pct,hold_days,exit_reason,sig_buy_sig_date,sig_buy_sig_w_close,sig_buy_mtf_score,sig_buy_emasma_score,sig_buy_early_score,sig_buy_near_score,sig_buy_gap_w,sig_buy_atr_dist,sig_buy_freshness_days,sig_sell_sig_date,sig_sell_sig_w_close,sig_sell_mtf_score,sig_sell_emasma_score,sig_sell_early_score,sig_sell_near_score,sig_sell_gap_w,sig_sell_atr_dist,sig_sell_freshness_days
SELL,80,PLTR,2024-10-22,42.63,4015.85,2024-10-15,43.48,87.3,85.6,-3413.47,-3499.07,-2.0,5,rotation (out of top-N),2024-10-14,42.96,4.7,5,-1,1.3,61.48,2.5,553,2024-10-21,44.85,4.2,5,-1,1.8,64.25,1.8,560
SELL,81,APP,2024-10-29,168.0,1041.28,2024-10-22,161.95,84.32,87.47,6299.77,6212.31,3.68,5,rotation (out of top-N),2024-10-21,161.66,5.0,5,-1,1.0,90.53,3.06,532,2024-10-28,163.6,4.3,5,-1,1.7,86.27,1.93,539
SELL,82,TPL,2024-10-29,359.88,467.63,2024-10-22,360.62,84.32,84.15,-346.04,-430.19,-0.26,5,rotation (out of top-N),2024-10-21,362.04,4.4,5,-0.8,1.4,55.68,2.42,196,2024-10-28,386.71,4.5,5,-1,1.5,62.36,2.26,203
SELL,83,NCLH,2024-11-05,25.36,7308.3,2024-10-29,23.47,85.76,92.67,13812.68,13720.01,8.0,5,rotation (out of top-N),2024-10-28,24.88,4.7,5,2.6,2.6,33.8,2.56,42,2024-11-04,27.32,5.1,5,1.9,2.5,45.06,2.49,49
SELL,84,CVNA,2024-11-12,49.3,4199.94,2024-10-29,40.84,85.76,103.53,35531.52,35428.0,20.65,10,rotation (out of top-N),2024-10-28,45.81,4.5,5,-1,1.5,88.83,2.24,511,2024-11-11,48.24,4.7,5,-1,1.3,84.08,2.54,525
SELL,85,VST,2024-11-12,144.59,1604.68,2024-11-05,115.49,92.66,116.01,46696.22,46580.21,25.13,5,rotation (out of top-N),2024-11-04,140.69,5.7,5,-1,0.3,65.15,4.01,602,2024-11-11,141.02,5.7,5,-1,0.3,60.89,4.04,609
SELL,86,APP,2024-11-19,294.55,781.89,2024-11-12,280.5,109.66,115.15,10985.61,10870.46,4.96,5,rotation (out of top-N),2024-11-11,291.17,6,5,-1,0.0,191.01,5.67,553,2024-11-18,333.45,5.4,5,-1,0.6,211.94,3.67,560
SELL,87,AXON,2024-11-19,603.5,360.3,2024-11-12,608.72,109.66,108.72,-1880.76,-1989.48,-0.91,5,rotation (out of top-N),2024-11-11,599.38,6,5,-1,0.0,73.37,6.46,441,2024-11-18,636.81,4.1,5,-1,1.9,79.43,1.6,448
SELL,88,COIN,2024-12-17,318.78,706.82,2024-11-12,310.3,109.66,112.66,5997.33,5884.67,2.68,24,rotation (out of top-N),2024-11-11,305.85,7.0,5,3.0,2.0,40.87,7.13,0,2024-12-16,278.72,4.9,4.32,3.3,2.9,21.62,3.6,35
SELL,89,PLTR,2024-11-26,64.54,3752.76,2024-11-19,59.64,111.91,121.1,18388.5,18267.4,8.16,5,rotation (out of top-N),2024-11-18,64.32,6,5,-1,0.0,107.39,4.75,588,2024-11-25,67.08,5.4,5,-1,0.6,108.86,3.66,595
