symbol,trades,win_rate_pct,net_pnl_usd,avg_net_pnl_usd,avg_return_pct,best_trade_pct,worst_trade_pct,avg_hold_days
FCAP,3,66.7,240339.56,80113.19,10.63,19.86,-4.57,9.7
FCN,2,50.0,889.03,444.51,4.15,8.8,-0.51,7.0
FCNCA,2,100.0,6473.84,3236.92,16.34,16.41,16.27,12.0
FEIM,10,90.0,9816339.25,981633.93,24.16,69.45,-1.51,10.9
FET,5,60.0,-5347687.33,-1069537.47,6.07,24.5,-10.49,10.4
FICO,1,100.0,552.16,552.16,2.51,2.51,2.51,5.0
FIX,2,100.0,102607.75,51303.88,5.83,10.07,1.59,5.0
FLEX,3,100.0,22009807.02,7336602.34,29.82,52.87,2.54,6.7
FLR,1,100.0,1306.81,1306.81,16.25,16.25,16.25,5.0
FLXS,8,87.5,205040.19,25630.02,8.13,20.03,-0.6,10.1
FN,2,100.0,2207.08,1103.54,3.92,5.02,2.83,7.5
FNV,2,100.0,316550.22,158275.11,15.04,16.55,13.52,7.0
FORM,8,100.0,21152918.1,2644114.76,26.06,60.07,2.54,17.4
FRHC,1,100.0,310946.56,310946.56,11.65,11.65,11.65,5.0
FSLR,17,100.0,126788.02,7458.12,22.94,38.91,9.42,20.1
FTAI,19,100.0,3482579.05,183293.63,13.89,34.79,0.3,21.4
FTI,9,88.9,9662.5,1073.61,7.13,12.88,-1.81,9.9
FTNT,4,25.0,-8546146.68,-2136536.67,-2.73,3.41,-7.0,3.2
FUTU,12,91.7,2318784.2,193232.02,11.83,27.57,-18.96,10.6
GE,7,100.0,21496.33,3070.9,6.45,8.7,3.03,12.7
GEV,2,50.0,646295.15,323147.57,6.41,15.03,-2.2,12.5
GFF,2,100.0,3740.83,1870.41,14.57,21.77,7.38,12.5
GFS,1,100.0,13402568.25,13402568.25,22.7,22.7,22.7,9.0
GH,8,87.5,1932069.32,241508.67,11.74,29.75,-5.89,12.1
GHM,6,66.7,-8920.03,-1486.67,9.89,22.5,-3.76,13.7
GILD,2,0.0,-119696.85,-59848.43,-3.03,-0.49,-5.57,5.0
GLW,3,100.0,12663833.91,4221277.97,20.73,32.03,13.63,10.7
GPOR,2,100.0,878.43,439.21,1.7,2.36,1.04,10.0
GRAL,5,100.0,5578868.82,1115773.76,28.16,54.71,5.49,18.8
GRBK,3,100.0,17738.93,5912.98,40.71,45.79,35.95,30.7
GRVY,1,0.0,-2287.17,-2287.17,-7.18,-7.18,-7.18,4.0
GSAT,12,100.0,4586075.97,382173.0,24.27,53.54,5.73,14.9
GSHD,1,100.0,3774.59,3774.59,4.92,4.92,4.92,5.0
HAE,2,50.0,301.24,150.62,1.11,4.59,-2.36,5.0
HAL,7,100.0,2729.94,389.99,8.54,19.83,1.35,17.4
HALO,2,50.0,-25686.19,-12843.09,-1.48,2.25,-5.2,9.5
HCC,7,100.0,2756.54,393.79,22.85,45.98,0.77,24.1
HCI,11,90.9,375083.1,34098.46,13.97,36.25,-3.58,8.0
HIFS,1,0.0,-26371.87,-26371.87,-6.18,-6.18,-6.18,5.0
HNGE,4,50.0,-4860847.53,-1215211.88,-1.02,2.65,-5.0,5.5
HOOD,23,87.0,5206036.01,226349.39,29.27,132.54,-20.16,20.0
HOV,14,100.0,221108.64,15793.47,31.82,64.14,7.92,18.9
HPE,4,75.0,8206484.69,2051621.17,6.54,13.57,-3.12,7.8
HQY,2,50.0,152.73,76.36,0.9,3.05,-1.24,7.0
